country_code,bw,s1g_chan,s1g_op_class,global_op_class,centre_freq_mhz,duty_cycle_ap,duty_cycle_sta,country,tx_power_max,duty_cycle_omit_ctrl_resp,pkt_spacing_ms,airtime_min_ms,airtime_max_ms,map_5g_chan
AU,1,28,22,50,916,100,100,Australia,30,FALSE,0,0,0,36
AU,1,30,22,50,917,100,100,Australia,30,FALSE,0,0,0,40
AU,1,32,22,50,918,100,100,Australia,30,FALSE,0,0,0,44
AU,1,34,22,50,919,100,100,Australia,30,FALSE,0,0,0,48
AU,1,36,22,50,920,100,100,Australia,30,FALSE,0,0,0,52
AU,1,38,22,50,921,100,100,Australia,30,FALSE,0,0,0,56
AU,1,40,22,50,922,100,100,Australia,30,FALSE,0,0,0,60
AU,1,42,22,50,923,100,100,Australia,30,FALSE,0,0,0,64
AU,1,44,22,50,924,100,100,Australia,30,FALSE,0,0,0,116
AU,1,46,22,50,925,100,100,Australia,30,FALSE,0,0,0,120
AU,1,48,22,50,926,100,100,Australia,30,FALSE,0,0,0,124
AU,1,50,22,50,927,100,100,Australia,30,FALSE,0,0,0,128
AU,2,29,23,51,916.5,100,100,Australia,30,FALSE,0,0,0,38
AU,2,33,23,51,918.5,100,100,Australia,30,FALSE,0,0,0,46
AU,2,37,23,51,920.5,100,100,Australia,30,FALSE,0,0,0,54
AU,2,41,23,51,922.5,100,100,Australia,30,FALSE,0,0,0,62
AU,2,45,23,51,924.5,100,100,Australia,30,FALSE,0,0,0,118
AU,2,49,23,51,926.5,100,100,Australia,30,FALSE,0,0,0,126
AU,4,31,24,52,917.5,100,100,Australia,30,FALSE,0,0,0,42
AU,4,39,24,52,921.5,100,100,Australia,30,FALSE,0,0,0,58
AU,4,47,24,52,925.5,100,100,Australia,30,FALSE,0,0,0,122
AU,8,35,25,53,919.5,100,100,Australia,30,FALSE,0,0,0,50
AU,8,43,25,53,923.5,100,100,Australia,30,FALSE,0,0,0,114
CA,1,3,1,68,903.5,100,100,Canada,36,FALSE,0,0,0,136
CA,1,5,1,68,904.5,100,100,Canada,36,FALSE,0,0,0,36
CA,1,7,1,68,905.5,100,100,Canada,36,FALSE,0,0,0,40
CA,1,9,1,68,906.5,100,100,Canada,36,FALSE,0,0,0,44
CA,1,11,1,68,907.5,100,100,Canada,36,FALSE,0,0,0,48
CA,1,13,1,68,908.5,100,100,Canada,36,FALSE,0,0,0,52
CA,1,15,1,68,909.5,100,100,Canada,36,FALSE,0,0,0,56
CA,1,17,1,68,910.5,100,100,Canada,36,FALSE,0,0,0,60
CA,1,19,1,68,911.5,100,100,Canada,36,FALSE,0,0,0,64
CA,1,21,1,68,912.5,100,100,Canada,36,FALSE,0,0,0,100
CA,1,23,1,68,913.5,100,100,Canada,36,FALSE,0,0,0,104
CA,1,25,1,68,914.5,100,100,Canada,36,FALSE,0,0,0,108
CA,1,27,1,68,915.5,100,100,Canada,36,FALSE,0,0,0,112
CA,1,29,1,68,916.5,100,100,Canada,36,FALSE,0,0,0,116
CA,1,31,1,68,917.5,100,100,Canada,36,FALSE,0,0,0,120
CA,1,33,1,68,918.5,100,100,Canada,36,FALSE,0,0,0,124
CA,1,35,1,68,919.5,100,100,Canada,36,FALSE,0,0,0,128
CA,1,37,1,68,920.5,100,100,Canada,36,FALSE,0,0,0,149
CA,1,39,1,68,921.5,100,100,Canada,36,FALSE,0,0,0,153
CA,1,41,1,68,922.5,100,100,Canada,36,FALSE,0,0,0,157
CA,1,43,1,68,923.5,100,100,Canada,36,FALSE,0,0,0,161
CA,1,45,1,68,924.5,100,100,Canada,36,FALSE,0,0,0,165
CA,1,47,1,68,925.5,100,100,Canada,36,FALSE,0,0,0,169
CA,1,49,1,68,926.5,100,100,Canada,36,FALSE,0,0,0,173
CA,2,6,2,69,905,100,100,Canada,36,FALSE,0,0,0,38
CA,2,10,2,69,907,100,100,Canada,36,FALSE,0,0,0,46
CA,2,14,2,69,909,100,100,Canada,36,FALSE,0,0,0,54
CA,2,18,2,69,911,100,100,Canada,36,FALSE,0,0,0,62
CA,2,22,2,69,913,100,100,Canada,36,FALSE,0,0,0,102
CA,2,26,2,69,915,100,100,Canada,36,FALSE,0,0,0,110
CA,2,30,2,69,917,100,100,Canada,36,FALSE,0,0,0,118
CA,2,34,2,69,919,100,100,Canada,36,FALSE,0,0,0,126
CA,2,38,2,69,921,100,100,Canada,36,FALSE,0,0,0,151
CA,2,42,2,69,923,100,100,Canada,36,FALSE,0,0,0,159
CA,2,46,2,69,925,100,100,Canada,36,FALSE,0,0,0,167
CA,4,8,3,70,906,100,100,Canada,36,FALSE,0,0,0,42
CA,4,16,3,70,910,100,100,Canada,36,FALSE,0,0,0,58
CA,4,24,3,70,914,100,100,Canada,36,FALSE,0,0,0,106
CA,4,32,3,70,918,100,100,Canada,36,FALSE,0,0,0,122
CA,4,40,3,70,922,100,100,Canada,36,FALSE,0,0,0,155
CA,8,12,4,71,908,100,100,Canada,36,FALSE,0,0,0,50
CA,8,28,4,71,916,100,100,Canada,36,FALSE,0,0,0,114
CA,8,44,4,71,924,100,100,Canada,36,FALSE,0,0,0,163
EU,1,1,6,66,863.5,100,100,User assigned EU,16.13,FALSE,0,0,0,132
EU,1,3,6,66,864.5,100,100,User assigned EU,16.13,FALSE,0,0,0,136
EU,1,5,6,66,865.5,100,100,User assigned EU,16.13,FALSE,0,0,0,36
EU,1,7,6,66,866.5,100,100,User assigned EU,16.13,FALSE,0,0,0,40
EU,1,9,6,66,867.5,100,100,User assigned EU,16.13,FALSE,0,0,0,44
EU,2,2,7,67,864,100,100,User assigned EU,16.13,FALSE,0,0,0,134
EU,2,6,7,67,866,100,100,User assigned EU,16.13,FALSE,0,0,0,38
JP,1,13,8,73,923,10,10,Japan,16,TRUE,2,2,100,36
JP,1,15,8,73,924,10,10,Japan,16,TRUE,2,2,100,40
JP,1,17,8,73,925,10,10,Japan,16,TRUE,2,2,100,44
JP,1,19,8,73,926,10,10,Japan,16,TRUE,2,2,100,48
JP,1,21,8,73,927,10,10,Japan,16,TRUE,2,2,100,64
JP,2,2,9,64,923.5,10,10,Japan,16,TRUE,2,2,100,38
JP,2,4,10,64,924.5,10,10,Japan,16,TRUE,2,2,100,54
JP,2,6,9,64,925.5,10,10,Japan,16,TRUE,2,2,100,46
JP,2,8,10,64,926.5,10,10,Japan,16,TRUE,2,2,100,62
JP,4,36,11,65,924.5,10,10,Japan,16,TRUE,2,2,100,42
JP,4,38,12,65,925.5,10,10,Japan,16,TRUE,2,2,100,58
US,1,3,1,68,903.5,100,100,USA,36,FALSE,0,0,0,136
US,1,5,1,68,904.5,100,100,USA,36,FALSE,0,0,0,36
US,1,7,1,68,905.5,100,100,USA,36,FALSE,0,0,0,40
